"","6872-JK-1","6872-JK-2","6872-JK-3","6872-JK-4","6872-JK-51","6872-JK-52-REPREP","6872-JK-53","6872-JK-54","6872-JK-77","11067-JK-10","11067-JK-11","11067-JK-18","11067-JK-19","11067-JK-20","11067-JK-21","11067-JK-22","11067-JK-5","11067-JK-6","11067-JK-7","11067-JK-8","11067-JK-9","12039-JR-1","12039-JR-10","12039-JR-11","12039-JR-12","12039-JR-13","12039-JR-14","12039-JR-15","12039-JR-16","12039-JR-17","12039-JR-18","12039-JR-19","12039-JR-2","12039-JR-3","12039-JR-4","12039-JR-5","12039-JR-6","12039-JR-7","12039-JR-8","12039-JR-9","11391-JR-10","11391-JR-11","11391-JR-12","11391-JR-13","11391-JR-14","11391-JR-15","11391-JR-16","11391-JR-7","11391-JR-8","11391-JR-9"
"Aacs",10.4338941715956,9.84592279248304,10.1596013707319,10.3427304557724,10.117711071444,9.81111550606426,10.1535451371957,10.261986273837,10.5580395073258,10.127194936311,10.2447223829404,10.2473732398277,10.4691987711976,10.0656654329577,10.4007398094274,10.045399262059,10.0345747020476,10.1089150513115,10.1923840634452,10.0185197577421,10.2913743059995,9.61617880391341,9.80697784510573,10.3338260317307,9.83399917877156,9.84165519789904,10.610444248493,10.0239208210807,9.87587283246072,9.84511072671357,11.2806648431399,10.6537070498112,10.5046011477379,10.7906312998595,10.0948427085108,10.3327093174335,9.91626613538683,10.4368597065949,9.86136854294704,9.89662794491534,9.94944134979666,10.3165723588288,10.1374861209037,10.4109672030022,10.2488805215552,10.2135073363641,10.0474143988883,10.1785033794663,10.3825452087121,9.98640021853817
"Abca13",6.17352463219594,5.68796028131449,5.93122733010168,6.04528143869229,6.16685111230689,6.60492353710702,6.30694899636669,6.14083505301878,5.9140185158345,6.23834998746265,6.02465037249287,6.18242187125106,5.79047279760916,6.07146428600543,5.9368825178986,6.16836066019039,6.20322576316343,6.07160573625676,6.15724729356045,6.34030467203643,6.11044190465717,7.01305823419197,5.98396574647148,5.9576788297707,6.04561766654723,6.08783612217287,6.15194151217673,6.14740952610638,6.00715455010189,6.11522233202505,6.12675045441363,6.03836313762343,5.86504226299639,6.08630621121566,6.22818421199012,6.02413143012101,6.05183724379069,5.89958268190901,6.0018941583065,6.21911780382787,5.99826009382111,6.06315158609903,6.25475212492427,6.11232691799761,5.96453912433529,5.9935639624525,6.24067947310698,6.17746089981342,6.20417763129426,6.07061140497585
"AC154013.1",6.1461461593127,6.24379121524064,6.43558577863932,6.25290591255787,6.57417944671624,6.46256378038585,6.55886950910308,6.74013160821973,6.61027609421017,6.49568132112161,6.40681562142191,6.44684382835203,6.42541429928618,6.51908615478552,6.25868722581115,6.28906036846868,6.73192082786762,6.3128201886541,6.50806063064154,6.64726820079102,6.32427400531278,6.49306432037976,6.42239997409918,6.48488979988891,6.5666852376191,6.2347535341656,6.44934275734491,6.27805333630276,6.50197046613893,6.53565276738885,6.53812910041683,6.36786764431685,6.57194676538742,6.46050393670469,6.39014298899893,6.41104843327421,6.62223375798246,6.30219841609755,6.3276319971279,6.53754483117924,6.74529230200936,6.75930327775383,6.54772297028171,6.24257062874062,6.22000694911839,6.43744103794226,6.51282131175045,6.20264582164937,6.32002817008484,6.48377809109763
"Aifm3",5.76141050353583,5.72563064933802,5.73624442354365,5.77384729403376,5.7056589348846,5.78518203409062,5.98522149209198,6.0127114995591,5.72399771550006,5.58159609813239,5.84175981490999,5.92191397075306,5.58159609813239,5.84928763248511,5.77468075870013,5.78277451208514,5.85715569753528,5.58159609813239,6.06410685295133,6.00287439003798,5.77386413824832,6.08486791069416,5.70094115145921,5.90751106193137,5.86115005743182,5.82278137624057,5.79872849451359,5.70571328058429,5.71440713363641,5.8422835680463,5.90638968788101,5.78758791659831,5.92092106294022,5.82169234630939,5.48683053617748,5.48683053617748,6.0646694227388,5.48683053617748,5.8749335589477,5.94583995984496,5.99264952874105,5.55550034750477,5.55550034750477,5.55550034750477,5.75218075345753,6.13978500102495,6.03110246389759,5.96391850275359,5.90936741185912,5.55550034750477
"Apol10b",5.93776981100803,5.9849651829912,5.88341020101453,5.84612518126237,6.21281026101658,6.01501441464394,6.13445777655528,6.08498938678771,5.79627560272866,5.89340480047586,6.1230237123184,5.57370924230985,6.29167271151755,5.95174310622437,5.90764537096682,5.97509631069783,6.15520419901766,5.97463339834462,5.96828542791474,6.04429885615708,6.0023732880663,6.25365504060388,5.93488568309743,5.80816351373251,6.09261485420664,6.37864220737005,5.56471107216224,5.94310527840893,6.01846376274654,6.02283329997146,5.86190498893301,5.77757083959705,6.12373212679252,6.20216484877679,5.79843294768693,5.85535276983006,6.05399667404674,6.23013400388475,6.0647552960029,5.7949406301671,5.85037796135023,5.9482196787343,5.80536239741304,6.36703235133434,5.80568309886494,6.20865914863701,5.92655501660532,6.0558279094008,5.9519896343973,5.96453482327195
"AU021092",6.94324276896965,6.93692723397068,7.14149152564549,6.81773852093646,6.87626491591456,6.7314341425814,7.04333996801324,7.28208457730756,6.82620239780517,6.56488387871312,7.20986965328974,7.27534609725002,6.37351989535359,6.99178474094299,6.50252413420167,6.99253084656695,6.60748195410947,7.15587571390519,7.41054189435206,7.15052156081402,7.23008769869345,7.52685477149119,6.78358402395536,6.88998141400507,7.07991441670906,7.16378468699593,6.78697839113003,7.12038039298704,6.95480267137663,6.79615021421111,7.01435890991694,6.89711634430663,6.76457981794589,6.9938507693732,6.90887341334925,6.70507178290931,6.98086066753364,6.89899168024231,6.84121780042986,7.04551393910262,7.14933829144533,7.10818978930411,6.97964846481772,6.84055560012652,6.88139207203967,7.19721459046822,7.07750641297036,6.64341031775374,6.92284678338308,6.75403773451813
"B3gnt5",6.46665553739599,6.46870048206739,6.61964712643637,6.68989665752532,6.89251684398525,6.57162689354063,6.70607065811093,6.73481724985507,6.57994665068976,6.7755569910544,6.63899522225361,6.52261796920821,6.24559164369549,6.81775005853479,6.28166218225264,6.79654693248406,6.66438142340445,6.8707586206639,6.80055661929431,6.64880933624888,6.5766104670475,7.54050349747798,6.62453806129272,6.12383725169735,6.6131485042301,6.57450963149738,6.48239975797968,6.70936462469449,6.56209432849235,6.64671317620548,6.76303370474618,6.68108295693725,6.13926627981715,6.74144349624381,6.8616966890163,6.60761046051199,6.64912239260912,6.43804133111338,6.57561365147243,6.76238952535674,6.67013486822614,6.47436914799648,6.28809640754435,7.26094496563304,6.43465025408793,6.10236367764282,6.33030107943903,6.76348895733308,7.27909769473933,6.76308416914302
"B9d1os",5.7528411963899,5.9164558491916,5.45830776680615,5.83116166261192,5.67393859780228,5.84249640266877,5.45830776680615,5.8346515428974,6.01546799568102,5.53388710885393,5.7179750935298,6.01406641364312,5.53388710885393,5.99622687597623,5.8678232375109,5.98229319748875,5.72888502933326,5.53388710885393,5.87586494260593,5.53388710885393,5.72615514896986,5.74365449405664,5.97508099775534,5.7415040968374,5.49805165526712,5.9090448069357,6.03620203190757,5.71693439967393,5.81956163367803,5.70361807986878,5.7952455720379,5.92262365735428,5.74930278272723,5.49805165526712,5.82822485028713,5.78869335293495,5.49805165526712,5.78384320163985,5.81525351415331,5.49805165526712,5.73077067409867,5.84472677632733,5.98701080384141,5.82061730067621,5.73135425506819,5.74248464682805,5.87173314177704,5.53467384911544,5.73932001521353,5.53467384911544
"Bambi",7.67174431841389,7.71255056488631,7.84612343632664,7.89412643549953,7.92457762260258,7.86264668395223,7.69592334799869,7.90645039621725,7.58476897517697,7.75838206248279,7.90221259340831,8.06431518997587,7.6838359603678,7.81558727212281,7.31174735559887,7.71096726915301,7.52876478919797,7.86473820028234,7.86684820134,7.9455570281175,8.01225978605157,8.25654867575989,7.86558112676284,7.61174545174725,7.61408678752787,7.83648609222286,7.77829661617005,7.69137813732825,7.85870085766532,7.75512223624196,7.70461820051283,7.68843658593635,7.64571869429435,7.80146435325551,7.69760088041977,7.89830762635841,7.94876691307075,7.69107295373135,7.75405417479282,7.88860517402472,7.96793790537791,7.90309625556675,7.76929301732109,7.88440267956914,7.83961304713383,7.81320598058993,7.83267040433184,7.64876061210794,7.49681940748073,7.73188044726987
"BC023719",7.25359506311047,7.180148299882,7.24075355019748,7.38631182842076,7.34838737729148,7.16131832353278,7.41640646265457,7.29507580948117,7.26896071453407,7.06433484187554,7.14747800682821,7.59735774015973,7.47475117246432,7.37560067624429,7.39949872250469,7.39558168347206,6.85794842172139,7.18597923892049,7.31710383604178,7.09793633325099,7.4877058986562,6.98977346470021,7.26945119496743,7.04942256758201,7.16301779139297,7.37146985013979,7.25454543651575,7.45469102286757,7.34511467666729,7.32825577591905,7.36787848393373,7.34715829500537,7.33343320378457,7.34495281471537,7.38164519285747,7.46581824835582,7.16556188088701,7.34714222883196,7.25282022395944,7.15320221947168,7.24184164720526,7.29508223054086,7.05890035696875,7.41886313629414,7.54850049293895,7.39648212977751,7.63759381052349,7.16653671238925,7.13511246853612,6.93548415827538
