"","6872-JK-1","6872-JK-2","6872-JK-3","6872-JK-4","6872-JK-51","6872-JK-52-REPREP","6872-JK-53","6872-JK-54","6872-JK-77","11067-JK-10","11067-JK-11","11067-JK-18","11067-JK-19","11067-JK-20","11067-JK-21","11067-JK-22","11067-JK-5","11067-JK-6","11067-JK-7","11067-JK-8","11067-JK-9","12039-JR-1","12039-JR-10","12039-JR-11","12039-JR-12","12039-JR-13","12039-JR-14","12039-JR-15","12039-JR-16","12039-JR-17","12039-JR-18","12039-JR-19","12039-JR-2","12039-JR-3","12039-JR-4","12039-JR-5","12039-JR-6","12039-JR-7","12039-JR-8","12039-JR-9","11391-JR-10","11391-JR-11","11391-JR-12","11391-JR-13","11391-JR-14","11391-JR-15","11391-JR-16","11391-JR-7","11391-JR-8","11391-JR-9"
"a",5.86018192053069,5.49976481522286,5.97282668276874,5.49976481522286,5.71539564621899,5.49976481522286,5.72187477850684,5.71745701274436,5.49976481522286,5.73867577705735,5.55384800344226,5.83193038503324,5.55384800344226,5.55384800344226,5.74693266401001,5.83812767797255,5.74884592392159,5.7547932868998,5.55384800344226,5.55384800344226,5.55384800344226,6.03452348705466,5.48795007961466,5.83183777384908,5.70446699984702,5.72577092336968,5.86957624140182,5.48795007961466,5.48795007961466,5.77842003103325,5.69828335549246,5.78870746003549,5.48795007961466,5.87432799375639,5.72167195513935,5.48795007961466,5.707603223388,5.48795007961466,5.48795007961466,5.48795007961466,5.82248733450866,5.66259602267357,5.48335748176286,5.48335748176286,5.68003788771561,5.89791081003869,5.67825340975536,5.77263322178202,5.68800364786095,5.48335748176286
"A1bg",5.53183339655961,5.53183339655961,5.86708442187526,5.53183339655961,5.53183339655961,5.53183339655961,5.84563565998496,5.7495255940811,5.53183339655961,5.77189378311366,5.69477395701192,5.51068597233606,5.79475029348699,5.77837750668878,5.51068597233606,5.71186438628881,5.51068597233606,5.51068597233606,5.51068597233606,5.72188564645878,5.51068597233606,5.74647870174857,5.50087586295905,5.50087586295905,5.50087586295905,5.73869670671407,5.50087586295905,5.71975860736585,5.82238584136995,5.50087586295905,5.71120913883684,5.71373563039386,5.50087586295905,5.50087586295905,5.50087586295905,5.95926761703767,5.81121375566494,5.70312593246449,5.50087586295905,5.50087586295905,5.75863528736231,5.48152514818794,5.48152514818794,5.48152514818794,5.67820555414069,5.84084582027022,5.81858444084954,5.48152514818794,5.48152514818794,5.77748766232527
"A1cf",5.87796180974491,5.58342838016116,5.58342838016116,5.58342838016116,5.58342838016116,5.58342838016116,5.58342838016116,5.58342838016116,5.58342838016116,5.70124992535973,5.44004211458212,5.44004211458212,5.44004211458212,5.76766204804066,5.71290203537138,5.44004211458212,5.87475626927729,5.78753039245055,5.63779083961917,5.44004211458212,5.71174971834954,5.56517526768791,5.56517526768791,5.90906296192233,5.56517526768791,5.56517526768791,5.78593473993104,5.56517526768791,5.56517526768791,5.56517526768791,5.77550854356571,5.56517526768791,5.56517526768791,5.7587967581122,5.56517526768791,5.56517526768791,5.56517526768791,5.56517526768791,5.56517526768791,5.56517526768791,5.63237144259468,5.74632754482334,5.82840823491054,5.43627461761145,5.43627461761145,5.43627461761145,5.77333391027305,5.79026869718031,5.43627461761145,5.64573486758803
"A2m",11.0551088812731,11.5231827559331,8.83268643206705,10.797665971671,11.5129465897441,10.3538404144127,9.74012064672575,9.36197168400565,9.43638635866467,10.402199116514,10.3130607808611,9.07675290783504,10.5375653813015,9.15056281679089,11.0364597077891,10.3703422234084,10.6775183442345,11.0368480751205,10.0977016384564,9.98392975036787,10.8022722366502,9.2488193433155,10.2173072886765,10.3855748897097,10.72813266635,10.3657528377879,10.5118328663504,10.2061165845358,10.569677888289,10.0849086232166,10.5593818334094,10.0423340926158,10.4490397364102,9.63945799881858,10.3644269980318,10.7469522370978,10.0973913080737,10.350788460527,10.78830060157,10.1620576291527,10.6455027515863,10.8650784015532,10.9608467502418,9.82087083008765,11.1589559127269,10.9144451160161,10.8127174054683,9.98410994618703,8.91964640517999,8.82217063039399
"A2ml1",6.40582343492271,6.46311240397639,6.18162406875619,6.08373202440668,6.23419373720828,6.00107407975631,6.28746785395359,5.93422775559035,6.60806649780786,6.37156329043166,6.42142154091656,6.17397567874436,6.42555910575256,6.37356786925473,5.96917687575983,6.48528906121926,6.1104590410804,6.18802302878519,6.32617625956126,6.16059106062406,5.92662632970796,6.04215159809033,6.19042011861146,6.19233075580838,6.12238254380954,6.08211364967312,6.0908535603596,6.08632157428926,6.6207000343839,6.25835355949318,6.10628334099273,6.18674686062661,6.53962186566454,6.16093323233912,6.38474208923966,6.43616777739621,6.27436660513579,6.27495739714464,6.22095611256832,6.3726101322835,6.25973551493887,6.36503681809019,5.96925083112243,6.44667991496413,6.17009954927325,6.21180130139593,6.44480180930847,6.05897006215972,6.22501490689963,6.29230024337891
"A3galt2",6.32006399954421,6.16750770820957,6.30077708486552,6.10937008113292,6.23093975474752,6.58773701332596,6.10648219886042,6.73771959108606,6.0794143338713,6.31017023466132,6.3641612361978,6.16997242061455,6.26398565562622,6.22041541126961,6.32469899614699,6.50008939599559,6.1064557829506,6.15515606184872,6.32217300143146,6.40039642884228,6.38234106193955,6.53000421498395,6.15910538011025,6.44101573371638,6.25590895923086,6.41898427463237,6.3770868632266,6.107050489448,6.42971457202062,6.33828448321624,6.28588899005252,6.26962601473499,6.15985053401831,6.38824804258638,6.45508755470048,6.26799083440901,6.14404484417925,6.14979228989747,6.25537610300959,6.14029799374082,6.4786130332554,6.19475398185015,6.5248118220456,6.24820698579093,6.3546049047105,6.3488096722687,6.32434928708182,6.1959784330325,6.05258419160269,6.21063409463228
"A4galt",9.16727971800171,9.40285117158937,9.19044861048197,9.41510467856948,8.94796400457003,9.58425919998178,9.2274449416635,9.20394950965516,9.10501045818424,9.0753463303686,9.23685334536166,9.22450887838048,9.3444563910089,9.24470873865935,9.37828841048666,9.14975370653025,8.86574289810622,9.23906994310569,9.11530975640953,9.37050789675523,9.74787009509043,9.66195298889516,9.13760475025572,9.46136381604404,9.31655532954228,9.4041276332034,9.29523309711441,9.14998606688061,9.2395248354878,9.22502527525251,9.20363738525537,9.06067050840047,9.20924359043115,9.3195653847047,9.22114282768358,9.18780781144831,9.1070492745482,9.02360628782203,9.2951783612774,9.21871739366925,9.70846302282404,9.20359744061698,9.05391227697098,9.21985162843737,9.21504067224648,9.52216886313584,9.7496980333708,8.74577698870173,8.92223071720837,9.15294068170657
"A4gnt",5.60299247337093,5.62434019460302,5.39454537584434,5.39454537584434,5.82461439585812,5.39454537584434,5.39454537584434,5.96728291192922,6.17774190529013,5.56758161969885,5.56758161969885,5.56758161969885,5.56758161969885,5.75700368291925,5.56758161969885,5.96896868808682,5.56758161969885,5.56758161969885,5.56758161969885,5.86599756427601,5.56758161969885,5.52190973339186,5.73602034867358,5.52190973339186,5.52190973339186,5.52190973339186,5.52190973339186,5.52190973339186,5.52190973339186,5.72747615799351,5.52190973339186,5.82266711381269,5.52190973339186,5.71553122381614,5.92584999256886,5.727597907888,5.52190973339186,5.7241598028973,5.74643073406989,5.84715986259998,5.54088365110761,5.72012219201832,5.76774585331628,5.74324139663131,5.54088365110761,5.54088365110761,5.73577957910011,5.54088365110761,5.7455298172057,5.54088365110761
"AA386476",7.08150273039487,6.83813320596902,6.94115329605979,6.56683364574783,6.90124692529027,6.85835114283703,7.12421292456152,7.01771341479876,7.21353347422967,7.00025933702235,6.76174889985868,6.70376840615155,6.89061405775994,7.05371712933079,7.10074661075457,7.06866373735099,7.13527424791904,6.75799040440408,6.87080916901975,6.95174584437374,7.09490316923955,6.91792032426093,7.0556730653007,6.84884204012414,6.84551330292,7.06251279482159,6.97577475174475,6.68659597735196,6.95592696703884,7.20142722885334,6.76327398110251,6.89945054110936,7.17302104261779,7.05278661186063,6.81844392914774,6.82803934488423,7.09166942235064,7.00188174001583,6.98369292006234,6.87210228530899,6.98865033645815,6.96186079511261,6.99937799919484,6.82808617505966,6.91812206495108,6.81266749914002,6.81353846298057,7.05750727546191,7.18396798509652,6.92808891753216
"AA387883",5.8525039129994,5.88926848368108,5.72941114070982,5.49208680769157,5.49208680769157,5.49208680769157,5.49208680769157,5.49208680769157,5.49208680769157,5.5070205693072,5.69110855398307,5.5070205693072,5.5070205693072,5.83464050276574,5.5070205693072,5.5070205693072,5.84425571962884,5.5070205693072,5.5070205693072,5.80543651388437,5.5070205693072,5.56848763618615,5.56848763618615,5.56848763618615,5.56848763618615,5.56848763618615,5.56848763618615,5.56848763618615,5.56848763618615,5.56848763618615,5.56848763618615,5.78134740362096,5.56848763618615,5.56848763618615,5.56848763618615,5.77417581068229,5.56848763618615,5.56848763618615,5.56848763618615,5.79871719419101,5.65342219184095,5.92973760160581,5.45732536685773,5.7432688184185,5.45732536685773,5.45732536685773,5.45732536685773,5.45732536685773,5.74649714094482,5.66678561683431
